t,value
1651231628,9223372036854665407
1651231658,9223372036854664511
1651231688,9223372036854664063
1651231718,9223372036854663167
1651231748,9223372036854662719
1651231778,9223372036854767551
1651231808,9223372036854767167
1651231838,9223372036854766271
1651231868,9223372036854765823
1651231898,9223372036854764927
1651231928,9223372036854764479
1651231958,9223372036854764543
1651231988,9223372036854764095
1651232018,9223372036854763199
1651232048,9223372036854762751
1651232078,9223372036854761855
1651232108,9223372036854759423
1651232138,9223372036854758271
1651232168,9223372036854757823
1651232198,9223372036854756927
1651232228,9223372036854756479
1651232258,9223372036854755583
1651232288,9223372036854755263
1651232318,9223372036854754367
1651232348,9223372036854753919
1651232378,9223372036854753023
1651232408,9223372036854752575
1651232438,9223372036854751679
1651232468,9223372036854751231
1651232498,9223372036854750335
1651232528,9223372036854749887
1651232558,9223372036854748991
1651232588,9223372036854748543
1651232618,9223372036854747647
1651232648,9223372036854747199
1651232678,9223372036854746303
1651232708,9223372036854745855
1651232738,9223372036854744959
1651232768,9223372036854744511
1651232798,9223372036854743615
1651232828,9223372036854743167
1651232858,9223372036854742271
1651232888,9223372036854741823
1651232918,9223372036854740927
1651232948,9223372036854740479
1651232978,9223372036854739583
1651233008,9223372036854739135
1651233038,9223372036854738239
1651233068,9223372036854737791
1651233098,9223372036854736895
1651233128,9223372036854736447
1651233158,9223372036854735551
1651233188,9223372036854735103
1651233218,9223372036854734207
1651233248,9223372036854733759
1651233278,9223372036854732863
1651233308,9223372036854732415
1651233338,9223372036854731519
1651233368,9223372036854731071
1651233398,9223372036854730175
1651233428,9223372036854729727
1651233458,9223372036854728831
1651233488,9223372036854728383
1651233518,9223372036854727487
1651233548,9223372036854727039
1651233578,9223372036854726143
1651233608,9223372036854725695
1651233638,9223372036854724799
1651233668,9223372036854724351
1651233698,9223372036854723455
1651233728,9223372036854723007
1651233758,9223372036854722111
1651233788,9223372036854721663
1651233818,9223372036854720767
1651233848,9223372036854720319
1651233878,9223372036854719423
1651233908,9223372036854718719
1651233938,9223372036854717823
1651233968,9223372036854717375
1651233998,9223372036854716479
1651234028,9223372036854716031
1651234058,9223372036854715135
1651234088,9223372036854714687
1651234119,9223372036854713791
1651234149,9223372036854713343
1651234179,9223372036854712447
1651234209,9223372036854711999
1651234239,9223372036854710783
1651234269,9223372036854710079
1651234299,9223372036854709183
1651234329,9223372036854708735
1651234359,9223372036854707839
1651234389,9223372036854707391
1651234419,9223372036854706495
1651234449,9223372036854706047
1651234479,9223372036854705151
1651234509,9223372036854704703
1651234539,9223372036854703807
1651234569,9223372036854703359
1651234599,9223372036854702463
1651234629,9223372036854702015
1651234659,9223372036854701119
1651234689,9223372036854700671
1651234719,9223372036854699775
1651234749,9223372036854699327
1651234779,9223372036854698431
1651234809,9223372036854697663
1651234839,9223372036854696447
1651234869,9223372036854695999
1651234899,9223372036854694719
1651234929,9223372036854693183
1651234959,9223372036854690815
1651234989,9223372036854689151
1651235019,9223372036854687551
1651235049,9223372036854686911
1651235079,9223372036854686015
1651235109,9223372036854685631
1651235139,9223372036854684735
1651235169,9223372036854684287
1651235199,9223372036854683391
1651235229,9223372036854682879
1651235259,9223372036854681983
1651235289,9223372036854681535
1651235319,9223372036854680639
1651235349,9223372036854680191
1651235379,9223372036854767679
1651235409,9223372036854767231
