t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651225744,237,30108,177.502110,3,1990.354954,12.000000,16.000000,46.300000,429.200000,4092.900000,30108.000000
1651225774,240,30108,175.404167,3,1977.912020,12.000000,16.000000,45.600000,419.900000,3959.550000,30108.000000
1651225804,246,30108,171.349593,3,1953.711597,12.000000,16.000000,43.200000,401.300000,3692.850000,30108.000000
1651225834,249,30108,169.389558,3,1941.940283,12.000000,16.000000,42.000000,392.000000,3559.500000,30108.000000
1651225864,255,30108,165.658824,3,1919.018111,12.000000,16.000000,39.600000,374.120000,3292.800000,30108.000000
1651225894,258,30108,163.868217,3,1907.856453,12.000000,16.000000,38.400000,365.180000,3159.450000,30108.000000
1651225924,264,30108,160.352273,3,1886.109781,12.000000,16.000000,36.750000,347.300000,2892.750000,30108.000000
1651225954,267,30108,158.651685,3,1875.511774,12.000000,16.000000,36.000000,338.360000,2759.400000,30108.000000
1651225984,273,30108,155.326007,3,1854.843842,12.000000,16.000000,34.500000,320.480000,2492.700000,30108.000000
1651226014,276,30108,153.688406,3,1844.765157,12.000000,16.000000,33.750000,311.540000,2359.350000,30108.000000
1651226044,282,30108,150.599291,3,1825.084591,11.000000,16.000000,33.000000,293.660000,2092.650000,30108.000000
1651226074,285,30108,149.112281,3,1815.476923,11.000000,16.000000,33.000000,284.720000,1959.300000,30108.000000
1651226104,291,30108,146.192440,3,1796.711125,11.000000,16.000000,33.000000,266.840000,1692.600000,30108.000000
1651226134,294,30108,144.785714,3,1787.543178,11.000000,16.000000,33.000000,257.900000,1559.250000,30108.000000
1651226164,300,30108,142.086667,3,1769.618312,11.000000,15.000000,33.000000,242.460000,1329.100000,30108.000000
1651226194,303,30108,140.755776,3,1760.857369,11.000000,15.000000,33.000000,240.840000,1305.400000,30108.000000
1651226224,309,30108,138.213592,3,1743.715789,11.000000,15.000000,33.000000,237.600000,1258.000000,30108.000000
1651226254,312,30108,136.977564,3,1735.330710,11.000000,15.000000,33.000000,235.980000,1234.300000,30108.000000
1651226284,318,30108,134.562893,3,1718.918076,11.000000,15.000000,33.000000,232.740000,1186.900000,30108.000000
1651226314,321,30108,133.376947,3,1710.885384,11.000000,15.000000,32.800000,231.120000,1163.200000,30108.000000
1651226344,327,30108,131.042813,3,1695.154317,11.000000,15.000000,32.200000,227.880000,1115.800000,30108.000000
1651226374,330,30108,129.942424,3,1687.447184,11.000000,15.000000,31.900000,226.260000,1092.100000,30108.000000
1651226404,334,30108,128.494012,3,1677.333505,11.000000,15.000000,31.500000,224.100000,1060.500000,30108.000000
1651226434,339,30108,126.643068,2,1664.949906,11.000000,15.000000,31.000000,221.400000,1021.000000,30108.000000
1651226464,343,30108,125.204082,2,1655.237888,11.000000,15.000000,31.000000,219.240000,989.400000,30108.000000
1651226494,348,30108,123.454023,2,1643.333388,11.000000,15.000000,31.000000,216.540000,949.900000,30108.000000
1651226524,352,30108,122.085227,2,1633.992858,10.000000,15.000000,31.000000,215.880000,918.300000,30108.000000
1651226554,357,30108,120.411765,2,1622.538541,10.000000,15.000000,31.000000,215.680000,878.800000,30108.000000
1651226584,361,30108,119.108033,2,1613.546398,10.000000,14.500000,30.800000,215.520000,847.200000,30108.000000
1651226614,366,30108,117.519126,2,1602.513633,10.000000,14.000000,30.300000,215.320000,807.700000,30108.000000
1651226644,370,30108,116.286486,2,1593.847990,10.000000,14.000000,29.900000,215.160000,776.100000,30108.000000
1651226674,375,30108,114.773333,2,1583.211731,10.000000,14.000000,29.400000,214.960000,736.600000,30108.000000
1651226704,379,30108,113.601583,2,1574.853646,10.000000,14.000000,29.000000,214.800000,705.000000,30108.000000
1651226734,384,30108,112.161458,2,1564.590524,10.000000,14.000000,28.500000,214.600000,665.500000,30108.000000
1651226764,387,30108,111.312661,2,1558.528314,10.000000,14.000000,28.200000,214.480000,641.800000,30108.000000
1651226794,393,30108,109.666667,2,1546.611452,10.000000,14.000000,27.600000,214.240000,594.400000,30108.000000
1651226826,396,30108,108.858586,2,1540.754882,10.000000,14.000000,27.300000,214.120000,570.700000,30108.000000
1651226856,402,30108,107.283582,2,1529.238265,10.000000,14.000000,27.000000,207.880000,542.350000,30108.000000
1651226886,405,30108,106.508642,2,1523.576295,10.000000,14.000000,27.000000,201.760000,537.700000,30108.000000
1651226916,411,30108,105.034063,2,1512.435766,10.000000,14.000000,27.000000,189.520000,528.400000,30108.000000
1651226946,414,30108,104.294686,2,1506.957557,10.000000,14.000000,27.000000,183.400000,523.750000,30108.000000
1651226976,420,30108,102.847619,2,1496.177382,10.000000,14.000000,26.950000,171.160000,514.450000,30108.000000
1651227006,423,30108,102.146572,2,1490.872863,10.000000,14.000000,26.800000,165.040000,509.800000,30108.000000
1651227036,429,30108,100.748252,2,1480.432603,10.000000,14.000000,26.500000,152.800000,500.500000,30108.000000
1651227066,432,30108,100.071759,2,1475.293522,10.000000,13.750000,26.350000,146.680000,495.850000,30108.000000
1651227096,438,30108,98.739726,2,1465.174343,9.000000,13.000000,26.050000,134.440000,486.550000,30108.000000
1651227126,441,30108,98.088435,2,1460.192143,9.000000,13.000000,26.000000,128.320000,481.900000,30108.000000
1651227156,447,30108,96.827740,2,1450.377342,9.000000,13.000000,26.000000,116.080000,472.600000,30108.000000
1651227186,450,30108,96.208889,2,1445.543655,9.000000,13.000000,26.000000,111.200000,467.950000,30108.000000
1651227216,456,30108,94.997807,2,1436.019369,9.000000,13.000000,26.000000,106.400000,458.650000,30108.000000
1651227246,459,30108,94.394336,2,1431.327902,9.000000,13.000000,26.000000,104.000000,454.000000,30108.000000
1651227276,465,30108,93.223656,2,1422.080467,9.000000,13.000000,25.700000,99.200000,444.700000,30108.000000
1651227306,468,30108,92.643162,2,1417.523861,9.000000,13.000000,25.550000,96.800000,440.050000,30108.000000
1651227336,474,30108,91.502110,2,1408.540657,9.000000,13.000000,25.250000,92.000000,430.750000,30108.000000
1651227366,483,30108,89.879917,2,1395.378248,9.000000,13.000000,25.000000,84.800000,416.800000,30108.000000
1651227396,489,30108,88.809816,2,1386.806879,9.000000,13.000000,25.000000,80.000000,407.500000,30108.000000
1651227426,495,30108,87.793939,2,1378.389882,8.000000,13.000000,25.000000,75.200000,398.200000,30108.000000
1651227456,504,30108,86.281746,2,1366.048841,8.000000,13.000000,24.750000,69.700000,384.550000,30108.000000
1651227486,507,30108,85.792899,2,1362.008042,8.000000,13.000000,24.600000,68.320000,380.080000,30108.000000
1651227516,516,30108,84.397287,2,1350.095457,8.000000,13.000000,24.150000,64.180000,366.670000,30108.000000
1651227546,528,30108,82.541667,2,1334.691420,8.000000,12.000000,24.000000,58.660000,348.790000,30108.000000
1651227576,540,30108,80.790741,2,1319.801597,8.000000,12.000000,23.950000,53.140000,330.910000,30108.000000
1651227606,543,30108,80.360958,2,1316.156595,8.000000,12.000000,23.800000,51.760000,326.440000,30108.000000
1651227636,549,30108,79.508197,2,1308.956713,8.000000,12.000000,23.500000,49.000000,317.500000,30108.000000
1651227666,552,30108,79.090580,2,1305.400694,8.000000,12.000000,23.350000,48.820000,313.030000,30108.000000
1651227696,558,30108,78.279570,2,1298.374128,7.000000,12.000000,23.050000,48.460000,304.090000,30108.000000
1651227726,561,30108,77.873440,2,1294.903538,7.000000,12.000000,23.000000,48.280000,299.620000,30108.000000
1651227756,567,30108,77.077601,2,1288.044836,7.000000,12.000000,23.000000,47.920000,290.680000,30108.000000
1651227786,570,30108,76.733333,2,1284.653747,7.000000,12.000000,23.450000,47.740000,286.210000,30108.000000
1651227816,576,30108,75.965278,2,1277.955599,7.000000,12.000000,23.150000,47.380000,277.270000,30108.000000
1651227846,579,30108,75.592401,2,1274.645290,7.000000,12.000000,23.000000,47.200000,272.800000,30108.000000
1651227876,585,30108,74.841026,2,1268.102069,7.000000,12.000000,23.000000,46.840000,263.860000,30108.000000
1651227906,588,30108,74.474490,2,1264.867828,7.000000,12.000000,23.000000,46.660000,259.390000,30108.000000
